#Label	Enable	X	Y	Z	Omega	Phi	Kappa	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Omega_error	Phi_error	Kappa_error	X_est	Y_est	Z_est	Omega_est	Phi_est	Kappa_est
FLF_0032_0669788994_105RZS_N0031266FHAZ02002_0A0295J02.png	1																				
FLF_0091_0675031051_013RAD_N0040136FHAZ02008_0A00LLJ01.png	0	-0.008940000	1.103530000	0.729120000	63.934500000	9.893030000	0.040670000	0.006208965	0.001515728	-0.003023335	-0.005207040	0.140982735	0.021968978	0.048483271	0.130548335	-0.007424272	1.100506665	0.723912960	63.956468978	9.941513271	0.171218335
FLF_0092_0675117424_000RAD_N0040136FHAZ00699_0A00LLJ01.png	0	-0.008940000	1.103530000	0.729120000	63.934490000	9.893020000	0.040670000	0.006354165	0.001580703	-0.003041275	-0.005350462	0.137131375	0.016255847	0.046569727	0.127953203	-0.007359297	1.100488725	0.723769538	63.950745847	9.939589727	0.168623203
FLF_0093_0675177115_000RAD_N0040136FHAZ00699_0A00LLJ01.png	0	-0.008940000	1.103530000	0.729120000	63.934490000	9.893020000	0.040670000														
FLF_0093_0675191628_000RAD_N0040136FHAZ00699_0A00LLJ01.png	0	-0.008940000	1.103530000	0.729120000	63.934490000	9.893020000	0.040670000														
FLF_0099_0675737434_261RAD_N0040218FHAZ02003_0M0195J01.png	0	-0.008940000	1.103530000	0.729120000	63.934490000	9.893020000	0.040680000														
FLF_0116_0677245019_226RAD_N0041250FHAZ02420_0A0295J01.png	0	-0.008940000	1.103530000	0.729120000	63.934490000	9.893020000	0.040670000														
FLF_0155_0680712028_352RAD_N0052512FHAZ02008_0A00LLJ01.png	0	-0.008940000	1.103530000	0.729120000	63.934500000	9.893030000	0.040670000	0.006193822	0.003222718	-0.003577786	-0.003895763	0.172451020	-0.007492885	0.092909687	0.145089631	-0.005717282	1.099952214	0.725224237	63.927007115	9.985939687	0.185759631
FLF_0200_0684704459_026RZS_N0071172FHAZ02002_0A0295J01.png	0	-574.225000000	-715.329000000	-1.120500000																	
FLF_0201_0684792231_574RZS_N0071358FHAZ02002_0A0295J01.png	0	-538.822000000	-706.053700000	-3.716500000																	
FLF_0202_0684879518_162RZS_N0071556FHAZ02002_0A0295J03.png	0	-512.456000000	-672.099200000	-4.489300000																	
FLF_0203_0684967747_996RZS_N0071716FHAZ02419_0A0295J01.png	0	-484.548000000	-669.390000000	-3.765500000																	
FLF_0204_0685060897_533RZS_N0071836FHAZ02008_0A10LLJ01.png	0	-477.386000000	-664.976700000	-2.880200000																	
FLF_0206_0685225880_176RZS_N0071836FHAZ02008_0A00LLJ02.png	0	-477.388000000	-664.975900000	-2.882500000																	
FLF_0210_0685593286_354RZS_N0072050FHAZ02002_0A0295J01.png	0	-492.362000000	-641.700200000	-2.600200000																	
FLF_0237_0687989626_276RZS_N0072246FHAZ02420_0A0295J03.png	0	-461.274000000	-634.837900000	-0.362200000																	
FLF_0238_0688077255_981RZS_N0072326FHAZ02418_0A0295J01.png	0	-444.720000000	-638.131100000	1.868800000																	
FLF_0239_0688164755_979RZS_N0072440FHAZ02418_0A0295J01.png	0	-443.838000000	-631.918000000	1.496700000																	
FLF_0239_0688168566_896RZS_N0072440FHAZ02167_0A10LLJ01.png	0	-443.838000000	-631.918000000	1.496700000																	
FLF_0248_0688959859_535RZS_N0080000FHAZ02008_0A10LLJ02.png	0	-441.311000000	-631.622000000	1.552300000																	
FLF_0250_0689135331_417RZS_N0080000FHAZ00206_0A0295J01.png	0	-441.308000000	-631.621100000	1.548600000																	
FLF_0250_0689136381_679RZS_N0080000FHAZ00206_0A0295J01.png	0	-441.308000000	-631.621400000	1.549200000																	
FLF_0275_0691350107_277RZS_N0080000FHAZ00306_0A0295J02.png	0	-441.310000000	-631.621900000	1.550700000																	
FLF_0278_0691618547_537RZS_N0080064FHAZ02008_0A00LLJ01.png	0	-439.124000000	-634.716900000	2.057000000																	
FLF_0280_0691800723_678RZS_N0080256FHAZ02418_0A0295J01.png	0	-476.284000000	-637.447300000	-1.516700000																	
FLF_0281_0691890981_408RZS_N0080410FHAZ02418_0A0295J01.png	0	-499.128000000	-663.572600000	-3.787300000																	
FLF_0283_0692069371_552RZS_N0080458FHAZ02418_0A0295J02.png	0	-495.758000000	-661.036900000	-3.642500000																	
FLF_0285_0692248059_522RZS_N0080734FHAZ02419_0A0295J01.png	0	-531.396000000	-703.499700000	-4.198300000																	
FLF_0286_0692336733_129RZS_N0090000FHAZ02418_0A0295J02.png	0	-535.592000000	-709.929400000	-3.639100000																	
FLF_0286_0692336761_756RZS_N0090000FHAZ02008_0A00LLJ05.png	0	-535.592000000	-709.929400000	-3.639100000																	
FLF_0288_0692507073_284RZS_N0090000FHAZ00206_0A0295J02.png	0	-535.593000000	-709.929800000	-3.640600000																	
FLF_0288_0692507156_692RZS_N0090000FHAZ00203_0A0195J02.png	0	-535.590000000	-709.926900000	-3.635600000																	
FLF_0292_0692866269_237RZS_N0090000FHAZ02008_0A00LLJ01.png	1																				
FLF_0306_0694118200_988RZS_N0090000FHAZ02008_0A00LLJ01.png	0	-535.592000000	-709.929200000	-3.639200000																	
FLF_0337_0696868467_441RZS_N0090276FHAZ02008_0A00LLJ01.png	0	-537.474000000	-711.503500000	-3.573100000																	
FLF_0340_0697121853_847RZS_N0090364FHAZ01002_0A0295J01.png	0	-559.163000000	-709.234800000	-2.437900000																	
FLF_0405_0702882725_538RZS_N0201422FHAZ02220_0A0195J02.png	0	-1412.156000000	871.697800000	22.898000000																	
FLF_0405_0702906313_179RZS_N0210000FHAZ02220_0A0195J01.png	0	-1635.592000000	738.892100000	20.787600000																	
FLF_0407_0703081157_399RZS_N0211126FHAZ02220_0A0195J01.png	0	-1817.089100000	637.750100000	19.084100000																	
FLF_0408_0703170922_659RZS_N0212560FHAZ02220_0A0195J01.png	0	-2067.273700000	545.438500000	21.367800000																	
FLF_0409_0703262707_731RZS_N0220000FHAZ02220_0A0195J01.png	0	-2276.232300000	552.560600000	25.043400000																	
FLF_0413_0703614484_772RZS_N0220788FHAZ02418_0A0295J01.png	0	-2379.702000000	503.647400000	25.856000000																	
FLF_0414_0703703528_943RZS_N0230000FHAZ02418_0A0295J01.png	0	-2521.844000000	433.276400000	25.859700000																	
FLF_0415_0703792064_659RZS_N0230824FHAZ02418_0A0295J01.png	0	-2569.540000000	282.167600000	30.419900000																	
FLF_0416_0703882040_535RZS_N0231180FHAZ02418_0A0295J01.png	0	-2589.710000000	217.038400000	36.054900000																	
FLF_0419_0704143958_658RZS_N0232532FHAZ02418_0A0295J01.png	0	-2769.655000000	246.917000000	49.780900000																	
FLF_0420_0704232140_899RZS_N0232872FHAZ02418_0A0295J02.png	0	-2785.374400000	308.273200000	47.574400000																	
FLF_0421_0704323555_724RZS_N0233142FHAZ02418_0A0295J01.png	0	-2781.113800000	347.925400000	44.266200000																	
FLF_0422_0704408885_738RZS_N0240000FHAZ02008_0A0085J04.png	0	-2780.643600000	353.113500000	44.150400000																	
FLF_0426_0704767144_913RZS_N0240902FHAZ02418_0A0295J01.png	0	-2666.591000000	329.429900000	35.902400000																	
FLF_0427_0704852831_575RZS_N0241328FHAZ02418_0A0295J01.png	0	-2607.304400000	319.347000000	31.404400000																	
FLF_0428_0704946164_915RZS_N0241970FHAZ02418_0A0295J01.png	0	-2563.160000000	410.319900000	26.653700000																	
FLF_0430_0705117217_669RZS_N0241992FHAZ02418_0A0295J01.png	0	-2564.328300000	409.672500000	26.625800000																	
FLF_0432_0705302288_028RZS_N0242770FHAZ02418_0A0295J01.png	0	-2438.506800000	488.786800000	25.587500000																	
FLF_0433_0705386735_868RZS_N0243170FHAZ02418_0A0295J01.png	0	-2387.694000000	535.137500000	25.600600000																	
FLF_0434_0705474992_661RZS_N0243290FHAZ02418_0A0295J01.png	0	-2382.803600000	562.063700000	25.966700000																	
FLF_0436_0705655470_759RZS_N0243900FHAZ02418_0A0295J01.png	0	-2386.085300000	673.338800000	27.416500000																	
FLF_0437_0705743039_929RZS_N0244232FHAZ02418_0A0295J01.png	0	-2370.250300000	739.640800000	30.702800000																	
FLF_0439_0705921711_744RZS_N0244358FHAZ02418_0A0295J01.png	0	-2362.588700000	757.426400000	32.159600000																	
FLF_0441_0706099952_927RZS_N0250000FHAZ02418_0A0295J01.png	0	-2378.914500000	771.431900000	34.789800000																	
FLF_0443_0706278634_263RZS_N0250214FHAZ02008_0A0085J02.png	0	-2442.627700000	764.402200000	34.619600000																	
FLF_0448_0706723042_351RZS_N0250446FHAZ02008_0A0085J03.png	0	-2506.191100000	758.041700000	35.043400000																	
FLF_0449_0706811875_034RZS_N0260000FHAZ02008_0A1085J03.png	0	-2507.107000000	762.490100000	35.669200000																	
FLF_0452_0707076341_441RZS_N0260000FHAZ02008_0A0085J01.png	0	-2507.107200000	762.489700000	35.668100000																	
FLF_0455_0707342380_633RZS_N0260096FHAZ02418_0A0295J01.png	0	-2508.215600000	784.941200000	40.325600000																	
FLF_0456_0707431033_118RZS_N0260218FHAZ02008_0A0085J03.png	0	-2495.804100000	792.428000000	42.916200000																	
FLF_0457_0707519265_644RZS_N0260218FHAZ02418_0A0295J02.png	0	-2495.804100000	792.428000000	42.916200000																	
FLF_0460_0707782608_869RZS_N0260470FHAZ02418_0A0295J01.png	0	-2519.420900000	823.397800000	46.492000000																	
FLF_0461_0707870635_633RZS_N0260630FHAZ02008_0A0085J02.png	0	-2516.467300000	833.178200000	47.314800000																	
FLF_0464_0708138950_977RZS_N0260756FHAZ02008_0A00LLJ01.png	0	-2522.266300000	840.530200000	48.667400000																	
FLF_0471_0708753815_550RZS_N0260756FHAZ02008_0A0085J01.png	0	-2522.268400000	840.529400000	48.669700000																	
FLF_0474_0709026001_287RZS_N0260850FHAZ02008_0A1095J01.png	0	-2517.388300000	844.143700000	49.246800000																	
FLF_0477_0709296768_777RZS_N0261004FHAZ02008_0A00LLJ01.png	0	-2513.969400000	846.638400000	50.010000000																	
FLF_0491_0710536979_800RZS_N0261004FHAZ02008_0A0095J01.png	0	-2513.969900000	846.639700000	50.008800000																	
FLF_0494_0710796459_381RZS_N0261004FHAZ00911_0A0195J01.png	0	-2513.971000000	846.639300000	50.009400000																	
FLF_0501_0711423517_041RAD_N0261154FHAZ02418_0A0295J01.png	0	-0.009170000	1.104280000	0.728840000	63.920250000	9.893450000	0.043130000	0.009312523	0.003381128	-0.007152669	-0.004912270	0.184430412	0.177838943	0.043377701	0.022500276	-0.005788872	1.097127331	0.723927730	64.098088943	9.936827701	0.065630276
FLF_0501_0711423517_041RZS_N0261154FHAZ02418_0A0295J01.png	0	-2526.283700000	832.663400000	47.633300000																	
FLF_0502_0711507036_914RZS_N0261222FHAZ02008_0A0095J01.png	0	-2528.829300000	830.516100000	47.410200000																	
FLF_0504_0711684531_474RZS_N0261222FHAZ02008_0A0095J03.png	0	-2528.830200000	830.515500000	47.408400000																	
FLF_0510_0712219238_630RZS_N0261222FHAZ02008_0A0095J02.png	0	-2528.829800000	830.515900000	47.409200000																	
FLF_0517_0712839695_300RZS_N0261222FHAZ02008_0A0095J02.png	0	-2528.829800000	830.515900000	47.409300000																	
FLF_0521_0713171636_926RZS_N0261222FHAZ00712_0A1095J03.png	0	-2528.829400000	830.515400000	47.409500000																	
FLF_0535_0714442315_385RZS_N0261652FHAZ02418_0A0295J01.png	0	-2448.514400000	812.344900000	45.007700000																	
FLF_0536_0714531907_488RZS_N0262018FHAZ02418_0A0295J01.png	0	-2378.354700000	804.348000000	44.010900000																	
FLF_0538_0714707474_402RZS_N0262548FHAZ02418_0A0295J02.png	0	-2363.802100000	804.075100000	43.868900000																	
FLF_0539_0714797503_355RZS_N0263008FHAZ02418_0A0295J01.png	1																				
