Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
13,3,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,3,38,0.660,-0.614,0.010,3.431,-4.965,0.050,2.771,-4.351,0.040
15,3,386,8.128,31.226,-0.399,8.338,30.106,-0.030,0.210,-1.120,0.369
16,3,578,34.170,39.321,0.004,34.382,38.692,0.620,0.212,-0.629,0.616
20,3,770,55.917,31.823,0.123,54.554,30.895,0.980,-1.363,-0.928,0.857
23,3,792,51.948,34.865,0.123,50.116,34.091,0.940,-1.832,-0.774,0.817
29,3,828,54.170,32.599,0.151,52.623,31.844,0.980,-1.547,-0.755,0.829
31,3,1044,26.212,33.383,-0.378,25.080,32.770,0.310,-1.132,-0.613,0.688
32,3,1266,18.688,4.314,-0.742,17.480,4.319,0.100,-1.208,0.005,0.842
33,3,1374,8.331,7.523,-0.961,7.800,7.411,-0.080,-0.531,-0.112,0.881
34,3,1392,8.312,14.023,-1.053,7.637,13.964,-0.080,-0.676,-0.059,0.973
43,3,1398,8.306,19.025,-1.093,7.808,18.564,-0.110,-0.498,-0.461,0.983
44,3,1416,8.306,19.025,-1.093,7.576,18.720,-0.110,-0.730,-0.305,0.983
47,3,1708,38.320,9.546,-0.966,36.197,9.002,0.370,-2.123,-0.544,1.336
48,3,1850,54.689,15.068,-0.639,52.467,14.469,0.870,-2.222,-0.599,1.509
49,3,1950,65.994,10.313,-0.715,63.730,9.996,0.930,-2.264,-0.317,1.645
52,3,2046,73.228,7.741,-0.763,70.508,7.425,0.860,-2.720,-0.316,1.623
65,3,2150,78.203,2.157,-0.838,75.329,2.316,0.910,-2.874,0.159,1.748
66,3,2208,82.622,-6.452,-1.091,79.380,-5.840,0.590,-3.242,0.612,1.681
72,3,2346,95.675,-21.348,-0.949,91.740,-20.696,0.770,-3.935,0.652,1.719
73,3,2430,99.964,-30.546,-0.789,95.669,-29.706,1.100,-4.295,0.840,1.889
