name	x	y	z	o	p	k
ZL0_0709_0729888971_069RAD_N0332864ZCAM07114_0340LMA01	-2696.76447611	1010.65613532	75.1659213725	40.0476908664	27.5637754716	34.0888090159
ZL0_0709_0729889008_069RAD_N0332864ZCAM07114_1100LMA01	-2696.76008144	1010.65147022	75.1731221999	39.7099691511	28.2127790295	34.2598867508
ZL0_0711_0730054378_178RAD_N0332864ZCAM03554_1100LMA03	-2696.54552147	1010.58923981	75.1974377299	-88.3954097737	44.3156330074	185.228112531
ZL0_0711_0730054943_723RAD_N0332864ZCAM03014_048085A02	-2696.54634255	1010.79736107	75.1961850856	-13.5380077809	-50.196686556	247.824600273
ZL0_0711_0730060145_020RAD_N0332864ZCAM03552_0630LMA01	-2696.66737415	1010.56114383	75.1759529127	4.14317330297	48.9847543117	94.5130298441
ZL0_0711_0730060638_443RAD_N0332864ZCAM03014_048085A01	-2696.54618594	1010.79734649	75.1959754027	-13.4020318438	-49.9884558004	247.938722172
ZL0_0711_0730064703_098RAD_N0332864ZCAM03553_1100LMA01	-2696.62821594	1010.80933001	75.2250755911	135.778749336	-82.5149426478	39.8027501099
ZL0_0711_0730065319_303RAD_N0332864ZCAM03014_048085A01	-2696.54633849	1010.79736175	75.1961849765	-13.5321389996	-50.1885875729	247.831804235
ZR0_0709_0729888971_069RAD_N0332864ZCAM07114_0340LMA01	-2696.58940143	1010.82487579	75.1746477091	38.3011660391	29.6818957535	34.2679271435
ZR0_0709_0729889008_069RAD_N0332864ZCAM07114_1100LMA01	-2696.58410481	1010.81959397	75.18221764	38.3847498736	29.3766979274	34.2213583648
ZR0_0711_0730054569_178RAD_N0332864ZCAM03554_1100LMA03	-2696.72039763	1010.75784636	75.2227050816	-88.8304318813	44.6018734738	184.951428521
ZR0_0711_0730054943_723RAD_N0332864ZCAM03014_048085A02	-2696.5977309	1010.55987926	75.1726060464	-9.61582015128	-51.1667709216	250.187754989
ZR0_0711_0730060314_988RAD_N0332864ZCAM03552_0630LMA01	-2696.69277407	1010.79935985	75.1997767151	-3.58908706686	48.1632210934	102.247133602
ZR0_0711_0730060638_443RAD_N0332864ZCAM03014_048085A01	-2696.59757416	1010.55986666	75.1723764378	-9.49534247387	-50.9529480388	250.282992803
ZR0_0711_0730064931_081RAD_N0332864ZCAM03553_1100LMA01	-2696.60374199	1010.56790846	75.1995297783	139.144009745	-82.5662028587	42.7741968015
