name,focus,f,cx,cy
ZL0_0684_0727673848_348RAD_N0321174ZCAM07114_0340LMA01,210,4652.14143381,41.0,15.0
ZL0_0688_0728027437_285RAD_N0321184ZCAM07114_0340LMA01,270,4699.96041849,41.0,15.0
ZL0_0690_0728196929_035RAD_N0321184ZCAM08692_0340LMA01,420,4703.00144457,41.0,15.0
ZL0_0690_0728196954_035RAD_N0321184ZCAM08692_0340LMA01,420,4705.07127497,41.0,15.0
ZL0_0690_0728196972_034RAD_N0321184ZCAM08692_0340LMA01,264,4698.23315428,41.0,15.0
ZL0_0690_0728196987_034RAD_N0321184ZCAM08692_0340LMA01,138,4689.1690319,41.0,15.0
ZL0_0690_0728197002_035RAD_N0321184ZCAM08692_0340LMA01,138,4695.92937943,41.0,15.0
ZL0_0690_0728197017_034RAD_N0321184ZCAM08692_0340LMA01,138,4691.56973343,41.0,15.0
ZL0_0690_0728197032_035RAD_N0321184ZCAM08692_0340LMA01,138,4690.89967661,41.0,15.0
ZL0_0690_0728197047_035RAD_N0321184ZCAM08692_0340LMA01,138,4691.04674769,41.0,15.0
ZL0_0690_0728197062_035RAD_N0321184ZCAM08692_0340LMA01,138,4703.58484007,41.0,15.0
ZL0_0690_0728197078_034RAD_N0321184ZCAM08692_0340LMA01,138,4698.5347471,41.0,15.0
ZL0_0690_0728197093_034RAD_N0321184ZCAM08692_0340LMA01,72,4704.33712233,41.0,15.0
ZL0_0690_0728197107_035RAD_N0321184ZCAM08692_0340LMA01,72,4685.61334522,41.0,15.0
ZL0_0690_0728197125_035RAD_N0321184ZCAM08692_0340LMA01,270,4701.01622235,41.0,15.0
ZL0_0690_0728197146_035RAD_N0321184ZCAM08692_0340LMA01,270,4701.59331306,41.0,15.0
ZL0_0690_0728197165_034RAD_N0321184ZCAM08692_0340LMA01,270,4701.85451561,41.0,15.0
ZL0_0690_0728197180_034RAD_N0321184ZCAM08692_0340LMA05,270,4700.37716644,41.0,15.0
ZL0_0690_0728197201_034RAD_N0321184ZCAM08692_0340LMA05,270,4698.05615564,41.0,15.0
ZL0_0690_0728197215_034RAD_N0321184ZCAM08692_0340LMA05,270,4696.77819755,41.0,15.0
ZL0_0690_0728197229_035RAD_N0321184ZCAM08692_0340LMA05,270,4692.87805967,41.0,15.0
ZL0_0690_0728197243_034RAD_N0321184ZCAM08692_0340LMA05,270,4704.52704626,41.0,15.0
ZL0_0690_0728197257_034RAD_N0321184ZCAM08692_0340LMA05,420,4703.29730956,41.0,15.0
ZL0_0690_0728197275_035RAD_N0321184ZCAM08692_0340LMA05,420,4703.02544212,41.0,15.0
ZL0_0690_0728197293_035RAD_N0321184ZCAM08692_0340LMA05,420,4705.22248468,41.0,15.0
ZL0_0690_0728197309_035RAD_N0321184ZCAM08692_0340LMA05,420,4706.52331076,41.0,15.0
ZL0_0690_0728197325_035RAD_N0321184ZCAM08692_0340LMA05,420,4706.12728848,41.0,15.0
ZL0_0690_0728197340_034RAD_N0321184ZCAM08692_0340LMA05,420,4708.15366497,41.0,15.0
ZL0_0690_0728197356_035RAD_N0321184ZCAM08692_0340LMA05,420,4709.39741109,41.0,15.0
ZL0_0690_0728197370_035RAD_N0321184ZCAM08692_0340LMA05,420,4707.86578472,41.0,15.0
ZL0_0690_0728197384_054RAD_N0321184ZCAM08692_0340LMA04,420,4705.36398947,41.0,15.0
ZL0_0690_0728197398_034RAD_N0321184ZCAM08692_0340LMA04,624,4718.56375477,41.0,15.0
ZL0_0690_0728197417_035RAD_N0321184ZCAM08692_0340LMA04,624,4718.8158132,41.0,15.0
ZL0_0690_0728197434_035RAD_N0321184ZCAM08692_0340LMA04,624,4718.9238672,41.0,15.0
ZL0_0690_0728197447_035RAD_N0321184ZCAM08692_0340LMA04,624,4717.90823241,41.0,15.0
