name,focus,f,cx,cy
ZR0_0684_0727673848_348RAD_N0321174ZCAM07114_0340LMA01,246,4647.53123524,24.0,44.0
ZR0_0688_0728027437_285RAD_N0321184ZCAM07114_0340LMA01,294,4701.14360399,24.0,44.0
ZR0_0690_0728196929_035RAD_N0321184ZCAM08692_0340LMA01,456,4708.97687709,24.0,44.0
ZR0_0690_0728196954_035RAD_N0321184ZCAM08692_0340LMA01,456,4711.65237676,24.0,44.0
ZR0_0690_0728196972_034RAD_N0321184ZCAM08692_0340LMA01,294,4713.78817324,24.0,44.0
ZR0_0690_0728196987_034RAD_N0321184ZCAM08692_0340LMA01,168,4702.85793501,24.0,44.0
ZR0_0690_0728197002_035RAD_N0321184ZCAM08692_0340LMA01,168,4698.58929213,24.0,44.0
ZR0_0690_0728197017_034RAD_N0321184ZCAM08692_0340LMA01,168,4701.72784307,24.0,44.0
ZR0_0690_0728197032_035RAD_N0321184ZCAM08692_0340LMA01,168,4698.36730803,24.0,44.0
ZR0_0690_0728197047_035RAD_N0321184ZCAM08692_0340LMA01,168,4697.83721775,24.0,44.0
ZR0_0690_0728197062_035RAD_N0321184ZCAM08692_0340LMA01,168,4708.52281075,24.0,44.0
ZR0_0690_0728197078_034RAD_N0321184ZCAM08692_0340LMA01,168,4700.08198913,24.0,44.0
ZR0_0690_0728197107_035RAD_N0321184ZCAM08692_0340LMA01,90,4702.9733933,24.0,44.0
ZR0_0690_0728197125_035RAD_N0321184ZCAM08692_0340LMA01,306,4698.09347854,24.0,44.0
ZR0_0690_0728197146_035RAD_N0321184ZCAM08692_0340LMA01,306,4708.78564728,24.0,44.0
ZR0_0690_0728197165_034RAD_N0321184ZCAM08692_0340LMA01,306,4711.14624185,24.0,44.0
ZR0_0690_0728197180_034RAD_N0321184ZCAM08692_0340LMA01,306,4698.68795488,24.0,44.0
ZR0_0690_0728197201_034RAD_N0321184ZCAM08692_0340LMA01,306,4697.67242102,24.0,44.0
ZR0_0690_0728197215_034RAD_N0321184ZCAM08692_0340LMA01,306,4700.78739687,24.0,44.0
ZR0_0690_0728197229_035RAD_N0321184ZCAM08692_0340LMA01,306,4694.10731533,24.0,44.0
ZR0_0690_0728197243_034RAD_N0321184ZCAM08692_0340LMA01,306,4701.99643034,24.0,44.0
ZR0_0690_0728197257_034RAD_N0321184ZCAM08692_0340LMA01,456,4708.54643497,24.0,44.0
ZR0_0690_0728197275_035RAD_N0321184ZCAM08692_0340LMA01,456,4708.05213542,24.0,44.0
