name	x	y	z	o	p	k
FLF_0711_0730074611_304RAD_N0332864FHAZ00206_0A0295J01.png	-2702.6235824	1010.71733624	74.6621547621	-7.72156959634	65.9283397272	100.387762843
FRF_0711_0730074611_304RAD_N0332864FHAZ00206_0A0295J01.png	-2702.58925214	1010.96213952	74.6923714943	37.94584501	62.1616002917	58.9338124686
NLF_0709_0729883381_848RAD_N0332864SAPP00601_0A00LLJ01.png	-2702.16033826	1010.90495195	76.0024546599	-172.667032722	8.97482449804	261.863592711
NLF_0709_0729889968_787RAD_N0332864NCAM03709_0A0195J01.png	-2702.23773201	1010.88045267	75.8498986447	-36.9762392475	50.695991831	142.014128989
NLF_0709_0729890432_073RAD_N0332864NCAM00709_0A0095J02.png	-2702.28681217	1010.89601019	75.8163314927	-10.9594195828	44.6658192353	114.87170678
NLF_0709_0729893052_304RAD_N0332864NCAM12709_0A0195J01.png	-2702.33098845	1011.36148273	75.936504612	75.2826342221	-29.6077301987	-12.3359529385
NLF_0709_0729895644_487RAD_N0332864SCAM02709_0A00LLJ01.png	-2702.32100894	1010.89696331	75.8748353238	-21.0773949445	68.0869590524	119.626263472
NLMV0709_0729882743_168RAD_N0332841TRAV00262_0A02LLJ01.png	-2696.71122537	1010.20835522	75.5768645436	37.9921234427	52.1851988135	49.5794702341
NRF_0709_0729889968_787RAD_N0332864NCAM03709_0A0195J01.png	-2702.44935242	1011.24518995	75.8975128743	-37.1030339609	50.7365859129	142.026371942
NRF_0709_0729890432_073RAD_N0332864NCAM00709_0A1095J02.png	-2702.41281145	1011.29835475	75.8645665372	-11.0301820476	44.7435815316	114.844402049
NRF_0709_0729893052_304RAD_N0332864NCAM12709_0A0195J01.png	-2701.97041814	1011.14092215	75.8987450288	75.3877818355	-29.6171049256	-12.3592358561
NRMV0709_0729882743_168RAD_N0332841TRAV00262_0A02LLJ01.png	-2696.5422333	1010.59678897	75.6022705591	38.067289385	52.2685209679	49.432865335
ZL0_0709_0729888971_069RAD_N0332864ZCAM07114_0340LMA01.png	-2702.36047611	1011.09713532	75.9103123725	40.0476908664	27.5637754716	34.0888090159
ZL0_0709_0729889008_069RAD_N0332864ZCAM07114_1100LMA01.png	-2702.35608144	1011.09247022	75.9175131999	39.7099691511	28.2127790295	34.2598867508
ZL0_0711_0730054378_178RAD_N0332864ZCAM03554_1100LMA03.png	-2702.14152147	1011.03023981	75.9418287299	-88.3954097737	44.3156330074	185.228112531
ZL0_0711_0730054943_723RAD_N0332864ZCAM03014_048085A02.png	-2702.14234255	1011.23836107	75.9405760856	-13.5380077809	-50.196686556	247.824600273
ZL0_0711_0730060145_020RAD_N0332864ZCAM03552_0630LMA01.png	-2702.26337415	1011.00214383	75.9203439127	4.14317330297	48.9847543117	94.5130298441
ZL0_0711_0730060638_443RAD_N0332864ZCAM03014_048085A01.png	-2702.14218594	1011.23834649	75.9403664027	-13.4020318438	-49.9884558004	247.938722172
ZL0_0711_0730064703_098RAD_N0332864ZCAM03553_1100LMA01.png	-2702.22421593	1011.25033001	75.9694665911	135.778749336	-82.5149426478	39.8027501099
ZL0_0711_0730065319_303RAD_N0332864ZCAM03014_048085A01.png	-2702.14233849	1011.23836175	75.9405759765	-13.5321389996	-50.1885875729	247.831804235
ZR0_0709_0729888971_069RAD_N0332864ZCAM07114_0340LMA01.png	-2702.18540143	1011.26587579	75.9190387091	38.3011660391	29.6818957535	34.2679271435
ZR0_0709_0729889008_069RAD_N0332864ZCAM07114_1100LMA01.png	-2702.18010481	1011.26059397	75.92660864	38.3847498736	29.3766979274	34.2213583648
ZR0_0711_0730054569_178RAD_N0332864ZCAM03554_1100LMA03.png	-2702.31639763	1011.19884636	75.9670960816	-88.8304318813	44.6018734738	184.951428521
ZR0_0711_0730054943_723RAD_N0332864ZCAM03014_048085A02.png	-2702.1937309	1011.00087926	75.9169970464	-9.61582015128	-51.1667709216	250.187754989
ZR0_0711_0730060314_988RAD_N0332864ZCAM03552_0630LMA01.png	-2702.28877406	1011.24035985	75.9441677151	-3.58908706686	48.1632210934	102.247133602
ZR0_0711_0730060638_443RAD_N0332864ZCAM03014_048085A01.png	-2702.19357416	1011.00086666	75.9167674378	-9.49534247387	-50.9529480388	250.282992803
ZR0_0711_0730064931_081RAD_N0332864ZCAM03553_1100LMA01.png	-2702.19974199	1011.00890846	75.9439207783	139.144009745	-82.5662028587	42.7741968015
ZR0_0711_0730065319_303RAD_N0332864ZCAM03014_048085A01.png	-2702.19372229	1011.00088057	75.9169867398	-9.61108452887	-51.1575355185	250.195492875
